,tweet,label,tweet_tokens,tweet_tokens_WSW,tweet_tokens_stemmed
10,rt putranafil ojok mpe anies baswedan menikmati hsil proyek d monas yng penuh kejanggalannya usutskandalmonasgate,1,"['rt', 'putranafil', 'ojok', 'mpe', 'anies', 'baswedan', 'menikmati', 'hsil', 'proyek', 'd', 'monas', 'yng', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['putranafil', 'ojok', 'mpe', 'anies', 'baswedan', 'menikmati', 'hsil', 'proyek', 'monas', 'yng', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['putranafil', 'ojok', 'mpe', 'anies', 'baswedan', 'nikmat', 'hsil', 'proyek', 'monas', 'yng', 'penuh', 'janggal', 'usutskandalmonasgate']"
11,janganlah datang anies baswedan menikmati buatan desain di monumen nasional nan tamam kejanggalannya usutskandalmonasgate,1,"['janganlah', 'datang', 'anies', 'baswedan', 'menikmati', 'buatan', 'desain', 'di', 'monumen', 'nasional', 'nan', 'tamam', 'kejanggalannya', 'usutskandalmonasgate']","['anies', 'baswedan', 'menikmati', 'buatan', 'desain', 'monumen', 'nasional', 'nan', 'tamam', 'kejanggalannya', 'usutskandalmonasgate']","['anies', 'baswedan', 'nikmat', 'buat', 'desain', 'monumen', 'nasional', 'nan', 'tamam', 'janggal', 'usutskandalmonasgate']"
12,jagan nyampe anies baswedan menikmati hsil proyek d monas yg penuh kejanggalannya usutskandalmonasgate,1,"['jagan', 'nyampe', 'anies', 'baswedan', 'menikmati', 'hsil', 'proyek', 'd', 'monas', 'yg', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['jagan', 'nyampe', 'anies', 'baswedan', 'menikmati', 'hsil', 'proyek', 'monas', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['jagan', 'nyampe', 'anies', 'baswedan', 'nikmat', 'hsil', 'proyek', 'monas', 'penuh', 'janggal', 'usutskandalmonasgate']"
13,rt nurulllputrii ojok ampe anies baswedan menikmati hsil proyek d monas yng penuh kejanggalannya usutskandalmonasgate,1,"['rt', 'nurulllputrii', 'ojok', 'ampe', 'anies', 'baswedan', 'menikmati', 'hsil', 'proyek', 'd', 'monas', 'yng', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['nurulllputrii', 'ojok', 'ampe', 'anies', 'baswedan', 'menikmati', 'hsil', 'proyek', 'monas', 'yng', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['nurulllputrii', 'ojok', 'ampe', 'anies', 'baswedan', 'nikmat', 'hsil', 'proyek', 'monas', 'yng', 'penuh', 'janggal', 'usutskandalmonasgate']"
14,anies baswedan jakarta dan bekasi salinguamenopang httpstcozdzrkdr httpstcousnism,0,"['anies', 'baswedan', 'jakarta', 'dan', 'bekasi', 'salinguamenopang', 'httpstcozdzrkdr', 'httpstcousnism']","['anies', 'baswedan', 'jakarta', 'bekasi', 'salinguamenopang', 'httpstcozdzrkdr', 'httpstcousnism']","['anies', 'baswedan', 'jakarta', 'bekas', 'salinguamenopang', 'httpstcozdzrkdr', 'httpstcousnism']"
15,jangn nympek anies baswedan menikmati hsl proyek d monas yg penuh kejanggalannya usutskandalmonasgate,1,"['jangn', 'nympek', 'anies', 'baswedan', 'menikmati', 'hsl', 'proyek', 'd', 'monas', 'yg', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['jangn', 'nympek', 'anies', 'baswedan', 'menikmati', 'hsl', 'proyek', 'monas', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['jangn', 'nympek', 'anies', 'baswedan', 'nikmat', 'hsl', 'proyek', 'monas', 'penuh', 'janggal', 'usutskandalmonasgate']"
16,rt penyukaombak lohhkenapa jd begini yannjangan pohon mahoni yg di tebang itu sudah ada yg ordernilai nya hampir m gaess stelau,1,"['rt', 'penyukaombak', 'lohhkenapa', 'jd', 'begini', 'yannjangan', 'pohon', 'mahoni', 'yg', 'di', 'tebang', 'itu', 'sudah', 'ada', 'yg', 'ordernilai', 'nya', 'hampir', 'm', 'gaess', 'stelau']","['penyukaombak', 'lohhkenapa', 'yannjangan', 'pohon', 'mahoni', 'tebang', 'ordernilai', 'm', 'gaess', 'stelau']","['penyukaombak', 'lohhkenapa', 'yannjangan', 'pohon', 'mahoni', 'tebang', 'ordernilai', 'm', 'gaess', 'stelau']"
17,janganlah berbatas anies baswedan menikmati produk rencana di monumen nasional nan purnama kejanggalannya usutskandalmonasgate,1,"['janganlah', 'berbatas', 'anies', 'baswedan', 'menikmati', 'produk', 'rencana', 'di', 'monumen', 'nasional', 'nan', 'purnama', 'kejanggalannya', 'usutskandalmonasgate']","['berbatas', 'anies', 'baswedan', 'menikmati', 'produk', 'rencana', 'monumen', 'nasional', 'nan', 'purnama', 'kejanggalannya', 'usutskandalmonasgate']","['batas', 'anies', 'baswedan', 'nikmat', 'produk', 'rencana', 'monumen', 'nasional', 'nan', 'purnama', 'janggal', 'usutskandalmonasgate']"
18,ojok nyampe anies baswedan menikmati hsil proyek d monas yg penuh kejanggalannya usutskandalmonasgate,1,"['ojok', 'nyampe', 'anies', 'baswedan', 'menikmati', 'hsil', 'proyek', 'd', 'monas', 'yg', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['ojok', 'nyampe', 'anies', 'baswedan', 'menikmati', 'hsil', 'proyek', 'monas', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['ojok', 'nyampe', 'anies', 'baswedan', 'nikmat', 'hsil', 'proyek', 'monas', 'penuh', 'janggal', 'usutskandalmonasgate']"
19,rt ngancel tadinya mau bangun citra baik dan bikin beautifikasi tapi tata aturan ditabrak komunikasi buruk ini bukit ketidakseriusanu,1,"['rt', 'ngancel', 'tadinya', 'mau', 'bangun', 'citra', 'baik', 'dan', 'bikin', 'beautifikasi', 'tapi', 'tata', 'aturan', 'ditabrak', 'komunikasi', 'buruk', 'ini', 'bukit', 'ketidakseriusanu']","['ngancel', 'bangun', 'citra', 'beautifikasi', 'tata', 'aturan', 'ditabrak', 'komunikasi', 'buruk', 'bukit', 'ketidakseriusanu']","['ngancel', 'bangun', 'citra', 'beautifikasi', 'tata', 'atur', 'tabrak', 'komunikasi', 'buruk', 'bukit', 'ketidakseriusanu']"
20,rt geiszchalifah banjir di bekasi anies yg disalahkan oleh mrk para udik yg tak faham peta jakarta nkali ini pemrov dki bangun dua flyou,1,"['rt', 'geiszchalifah', 'banjir', 'di', 'bekasi', 'anies', 'yg', 'disalahkan', 'oleh', 'mrk', 'para', 'udik', 'yg', 'tak', 'faham', 'peta', 'jakarta', 'nkali', 'ini', 'pemrov', 'dki', 'bangun', 'dua', 'flyou']","['geiszchalifah', 'banjir', 'bekasi', 'anies', 'disalahkan', 'mrk', 'udik', 'faham', 'peta', 'jakarta', 'nkali', 'pemrov', 'dki', 'bangun', 'flyou']","['geiszchalifah', 'banjir', 'bekas', 'anies', 'salah', 'mrk', 'udik', 'faham', 'peta', 'jakarta', 'nkali', 'pemrov', 'dki', 'bangun', 'flyou']"
21,janganlah berbatas anies baswedan menikmati produk desain di monumen nasional nan maksimum kejanggalannya usutskandalmonasgate,1,"['janganlah', 'berbatas', 'anies', 'baswedan', 'menikmati', 'produk', 'desain', 'di', 'monumen', 'nasional', 'nan', 'maksimum', 'kejanggalannya', 'usutskandalmonasgate']","['berbatas', 'anies', 'baswedan', 'menikmati', 'produk', 'desain', 'monumen', 'nasional', 'nan', 'maksimum', 'kejanggalannya', 'usutskandalmonasgate']","['batas', 'anies', 'baswedan', 'nikmat', 'produk', 'desain', 'monumen', 'nasional', 'nan', 'maksimum', 'janggal', 'usutskandalmonasgate']"
22,ojo nympek anies baswedan menikmati hsl proyek d monas yg penuh kejanggalannya usutskandalmonasgate,1,"['ojo', 'nympek', 'anies', 'baswedan', 'menikmati', 'hsl', 'proyek', 'd', 'monas', 'yg', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['ojo', 'nympek', 'anies', 'baswedan', 'menikmati', 'hsl', 'proyek', 'monas', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['ojo', 'nympek', 'anies', 'baswedan', 'nikmat', 'hsl', 'proyek', 'monas', 'penuh', 'janggal', 'usutskandalmonasgate']"
23,rt aniesupdatenews anies baswedan resmikan flyover di bekasi senilai rp miliarnnbukan bekasi penyangga jakarta tapi jakarta juga peu,0,"['rt', 'aniesupdatenews', 'anies', 'baswedan', 'resmikan', 'flyover', 'di', 'bekasi', 'senilai', 'rp', 'miliarnnbukan', 'bekasi', 'penyangga', 'jakarta', 'tapi', 'jakarta', 'juga', 'peu']","['aniesupdatenews', 'anies', 'baswedan', 'resmikan', 'flyover', 'bekasi', 'senilai', 'rp', 'miliarnnbukan', 'bekasi', 'penyangga', 'jakarta', 'jakarta', 'peu']","['aniesupdatenews', 'anies', 'baswedan', 'resmi', 'flyover', 'bekas', 'nila', 'rp', 'miliarnnbukan', 'bekas', 'sangga', 'jakarta', 'jakarta', 'peu']"
24,janganlah datang anies baswedan menikmati buatan desain di monumen nasional nan tumpat kejanggalannya usutskandalmonasgate,1,"['janganlah', 'datang', 'anies', 'baswedan', 'menikmati', 'buatan', 'desain', 'di', 'monumen', 'nasional', 'nan', 'tumpat', 'kejanggalannya', 'usutskandalmonasgate']","['anies', 'baswedan', 'menikmati', 'buatan', 'desain', 'monumen', 'nasional', 'nan', 'tumpat', 'kejanggalannya', 'usutskandalmonasgate']","['anies', 'baswedan', 'nikmat', 'buat', 'desain', 'monumen', 'nasional', 'nan', 'tumpat', 'janggal', 'usutskandalmonasgate']"
25,rt valenciavicr permasalahan monas akibat anies baswedan tidak mengerti tata kelola wilayah nnusutskandalmonasgate httpstcobmu,0,"['rt', 'valenciavicr', 'permasalahan', 'monas', 'akibat', 'anies', 'baswedan', 'tidak', 'mengerti', 'tata', 'kelola', 'wilayah', 'nnusutskandalmonasgate', 'httpstcobmu']","['valenciavicr', 'permasalahan', 'monas', 'akibat', 'anies', 'baswedan', 'mengerti', 'tata', 'kelola', 'wilayah', 'nnusutskandalmonasgate', 'httpstcobmu']","['valenciavicr', 'masalah', 'monas', 'akibat', 'anies', 'baswedan', 'erti', 'tata', 'kelola', 'wilayah', 'nnusutskandalmonasgate', 'httpstcobmu']"
26,jngan nympek anies baswedan menikmati hsil proyek d monas yg penuh kejanggalannya usutskandalmonasgate,1,"['jngan', 'nympek', 'anies', 'baswedan', 'menikmati', 'hsil', 'proyek', 'd', 'monas', 'yg', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['jngan', 'nympek', 'anies', 'baswedan', 'menikmati', 'hsil', 'proyek', 'monas', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['jngan', 'nympek', 'anies', 'baswedan', 'nikmat', 'hsil', 'proyek', 'monas', 'penuh', 'janggal', 'usutskandalmonasgate']"
27,rt jennitalala ojo nyampe anies baswedan menikmati hsl proyek d monas yng penuh kejanggalannya usutskandalmonasgate,1,"['rt', 'jennitalala', 'ojo', 'nyampe', 'anies', 'baswedan', 'menikmati', 'hsl', 'proyek', 'd', 'monas', 'yng', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['jennitalala', 'ojo', 'nyampe', 'anies', 'baswedan', 'menikmati', 'hsl', 'proyek', 'monas', 'yng', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['jennitalala', 'ojo', 'nyampe', 'anies', 'baswedan', 'nikmat', 'hsl', 'proyek', 'monas', 'yng', 'penuh', 'janggal', 'usutskandalmonasgate']"
28,janganlah datang anies baswedan menikmati produk desain di monumen nasional nan kaya kejanggalannya usutskandalmonasgate,1,"['janganlah', 'datang', 'anies', 'baswedan', 'menikmati', 'produk', 'desain', 'di', 'monumen', 'nasional', 'nan', 'kaya', 'kejanggalannya', 'usutskandalmonasgate']","['anies', 'baswedan', 'menikmati', 'produk', 'desain', 'monumen', 'nasional', 'nan', 'kaya', 'kejanggalannya', 'usutskandalmonasgate']","['anies', 'baswedan', 'nikmat', 'produk', 'desain', 'monumen', 'nasional', 'nan', 'kaya', 'janggal', 'usutskandalmonasgate']"
29,musniumar googlenews timpang tindih kepentingan dan tdk jelasnya tata kelola seputaran monas dijadikan senjata utk membunuh karakter anies baswedan,1,"['musniumar', 'googlenews', 'timpang', 'tindih', 'kepentingan', 'dan', 'tdk', 'jelasnya', 'tata', 'kelola', 'seputaran', 'monas', 'dijadikan', 'senjata', 'utk', 'membunuh', 'karakter', 'anies', 'baswedan']","['musniumar', 'googlenews', 'timpang', 'tindih', 'kepentingan', 'tata', 'kelola', 'seputaran', 'monas', 'dijadikan', 'senjata', 'membunuh', 'karakter', 'anies', 'baswedan']","['musniumar', 'googlenews', 'timpang', 'tindih', 'penting', 'tata', 'kelola', 'putar', 'monas', 'jadi', 'senjata', 'bunuh', 'karakter', 'anies', 'baswedan']"
30,rt lafizaj janganlah datang anies baswedan menikmati produk pesanan di monumen nasional nan pol kejanggalannya usutskandalmonasgate,1,"['rt', 'lafizaj', 'janganlah', 'datang', 'anies', 'baswedan', 'menikmati', 'produk', 'pesanan', 'di', 'monumen', 'nasional', 'nan', 'pol', 'kejanggalannya', 'usutskandalmonasgate']","['lafizaj', 'anies', 'baswedan', 'menikmati', 'produk', 'pesanan', 'monumen', 'nasional', 'nan', 'pol', 'kejanggalannya', 'usutskandalmonasgate']","['lafizaj', 'anies', 'baswedan', 'nikmat', 'produk', 'pesan', 'monumen', 'nasional', 'nan', 'pol', 'janggal', 'usutskandalmonasgate']"
31,rt putriiiindaah janganlah datang anies baswedan menikmati produk desain di monumen nasional nan kaya kejanggalannya usutskandalmonasgau,1,"['rt', 'putriiiindaah', 'janganlah', 'datang', 'anies', 'baswedan', 'menikmati', 'produk', 'desain', 'di', 'monumen', 'nasional', 'nan', 'kaya', 'kejanggalannya', 'usutskandalmonasgau']","['putriiiindaah', 'anies', 'baswedan', 'menikmati', 'produk', 'desain', 'monumen', 'nasional', 'nan', 'kaya', 'kejanggalannya', 'usutskandalmonasgau']","['putriiiindaah', 'anies', 'baswedan', 'nikmat', 'produk', 'desain', 'monumen', 'nasional', 'nan', 'kaya', 'janggal', 'usutskandalmonasgau']"
32,mantap kan httpstcojutjtx,0,"['mantap', 'kan', 'httpstcojutjtx']","['mantap', 'httpstcojutjtx']","['mantap', 'httpstcojutjtx']"
33,rt putrialison janganlah datang anies baswedan menikmati buatan desain di monumen nasional nan tumpat kejanggalannya usutskandalmonasgau,1,"['rt', 'putrialison', 'janganlah', 'datang', 'anies', 'baswedan', 'menikmati', 'buatan', 'desain', 'di', 'monumen', 'nasional', 'nan', 'tumpat', 'kejanggalannya', 'usutskandalmonasgau']","['putrialison', 'anies', 'baswedan', 'menikmati', 'buatan', 'desain', 'monumen', 'nasional', 'nan', 'tumpat', 'kejanggalannya', 'usutskandalmonasgau']","['putrialison', 'anies', 'baswedan', 'nikmat', 'buat', 'desain', 'monumen', 'nasional', 'nan', 'tumpat', 'janggal', 'usutskandalmonasgau']"
34,jngn ampe anies baswedan menikmati hsil proyek d monas yg penuh kejanggalannya usutskandalmonasgate,1,"['jngn', 'ampe', 'anies', 'baswedan', 'menikmati', 'hsil', 'proyek', 'd', 'monas', 'yg', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['jngn', 'ampe', 'anies', 'baswedan', 'menikmati', 'hsil', 'proyek', 'monas', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['jngn', 'ampe', 'anies', 'baswedan', 'nikmat', 'hsil', 'proyek', 'monas', 'penuh', 'janggal', 'usutskandalmonasgate']"
35,janganlah mencapai anies baswedan menikmati produk cak order di monumen nasional nan sempurna kejanggalannya usutskandalmonasgate,1,"['janganlah', 'mencapai', 'anies', 'baswedan', 'menikmati', 'produk', 'cak', 'order', 'di', 'monumen', 'nasional', 'nan', 'sempurna', 'kejanggalannya', 'usutskandalmonasgate']","['mencapai', 'anies', 'baswedan', 'menikmati', 'produk', 'cak', 'order', 'monumen', 'nasional', 'nan', 'sempurna', 'kejanggalannya', 'usutskandalmonasgate']","['capai', 'anies', 'baswedan', 'nikmat', 'produk', 'cak', 'order', 'monumen', 'nasional', 'nan', 'sempurna', 'janggal', 'usutskandalmonasgate']"
36,rt rgfansclub ketentraman berwarganegara hilang keadilan hukum ham kepekaan sosial amp rentetan lainnya hancur solusi dari segalau,0,"['rt', 'rgfansclub', 'ketentraman', 'berwarganegara', 'hilang', 'keadilan', 'hukum', 'ham', 'kepekaan', 'sosial', 'amp', 'rentetan', 'lainnya', 'hancur', 'solusi', 'dari', 'segalau']","['rgfansclub', 'ketentraman', 'berwarganegara', 'hilang', 'keadilan', 'hukum', 'ham', 'kepekaan', 'sosial', 'rentetan', 'hancur', 'solusi', 'segalau']","['rgfansclub', 'ketentraman', 'berwarganegara', 'hilang', 'adil', 'hukum', 'ham', 'peka', 'sosial', 'rentet', 'hancur', 'solusi', 'galau']"
37,rt subhanmaulana janganlah berbatas anies baswedan menikmati produk desain di monumen nasional nan maksimum kejanggalannya usutskandau,1,"['rt', 'subhanmaulana', 'janganlah', 'berbatas', 'anies', 'baswedan', 'menikmati', 'produk', 'desain', 'di', 'monumen', 'nasional', 'nan', 'maksimum', 'kejanggalannya', 'usutskandau']","['subhanmaulana', 'berbatas', 'anies', 'baswedan', 'menikmati', 'produk', 'desain', 'monumen', 'nasional', 'nan', 'maksimum', 'kejanggalannya', 'usutskandau']","['subhanmaulana', 'batas', 'anies', 'baswedan', 'nikmat', 'produk', 'desain', 'monumen', 'nasional', 'nan', 'maksimum', 'janggal', 'usutskandau']"
38,rt arilestari semoga kali ini kena batunya n gak bisa lolos laginnhttpstcorulvqcfds httpstcolnbxzogpzw,0,"['rt', 'arilestari', 'semoga', 'kali', 'ini', 'kena', 'batunya', 'n', 'gak', 'bisa', 'lolos', 'laginnhttpstcorulvqcfds', 'httpstcolnbxzogpzw']","['arilestari', 'semoga', 'kali', 'kena', 'batunya', 'n', 'lolos', 'laginnhttpstcorulvqcfds', 'httpstcolnbxzogpzw']","['arilestari', 'moga', 'kali', 'kena', 'batu', 'n', 'lolos', 'laginnhttpstcorulvqcfds', 'httpstcolnbxzogpzw']"
39,rt anangfirmansss ojok nyampe anies baswedan menikmati hsil proyek d monas yg penuh kejanggalannya usutskandalmonasgate,1,"['rt', 'anangfirmansss', 'ojok', 'nyampe', 'anies', 'baswedan', 'menikmati', 'hsil', 'proyek', 'd', 'monas', 'yg', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['anangfirmansss', 'ojok', 'nyampe', 'anies', 'baswedan', 'menikmati', 'hsil', 'proyek', 'monas', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['anangfirmansss', 'ojok', 'nyampe', 'anies', 'baswedan', 'nikmat', 'hsil', 'proyek', 'monas', 'penuh', 'janggal', 'usutskandalmonasgate']"
40,rt julietrohman janganlah berbatas anies baswedan menikmati produk rencana di monumen nasional nan purnama kejanggalannya usutskandalmu,1,"['rt', 'julietrohman', 'janganlah', 'berbatas', 'anies', 'baswedan', 'menikmati', 'produk', 'rencana', 'di', 'monumen', 'nasional', 'nan', 'purnama', 'kejanggalannya', 'usutskandalmu']","['julietrohman', 'berbatas', 'anies', 'baswedan', 'menikmati', 'produk', 'rencana', 'monumen', 'nasional', 'nan', 'purnama', 'kejanggalannya', 'usutskandalmu']","['julietrohman', 'batas', 'anies', 'baswedan', 'nikmat', 'produk', 'rencana', 'monumen', 'nasional', 'nan', 'purnama', 'janggal', 'usutskandalmu']"
41,djangan ampe anies baswedan menikmati hsil proyek d monas yng penuh kejanggalannya usutskandalmonasgate,1,"['djangan', 'ampe', 'anies', 'baswedan', 'menikmati', 'hsil', 'proyek', 'd', 'monas', 'yng', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['djangan', 'ampe', 'anies', 'baswedan', 'menikmati', 'hsil', 'proyek', 'monas', 'yng', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['djangan', 'ampe', 'anies', 'baswedan', 'nikmat', 'hsil', 'proyek', 'monas', 'yng', 'penuh', 'janggal', 'usutskandalmonasgate']"
42,rt oktavinia janganlah datang anies baswedan menikmati buatan desain di monumen nasional nan tamam kejanggalannya usutskandalmonasgate,1,"['rt', 'oktavinia', 'janganlah', 'datang', 'anies', 'baswedan', 'menikmati', 'buatan', 'desain', 'di', 'monumen', 'nasional', 'nan', 'tamam', 'kejanggalannya', 'usutskandalmonasgate']","['oktavinia', 'anies', 'baswedan', 'menikmati', 'buatan', 'desain', 'monumen', 'nasional', 'nan', 'tamam', 'kejanggalannya', 'usutskandalmonasgate']","['oktavinia', 'anies', 'baswedan', 'nikmat', 'buat', 'desain', 'monumen', 'nasional', 'nan', 'tamam', 'janggal', 'usutskandalmonasgate']"
